job_id,state,zombie_head,since_id_str,query,description,last_count,last_run,analysis_state
1082,126,1,288271716420055040,q=%40jim_moran,,0,01/07/2013 13:12:04,2
1083,4176,2,288119581233541121,q=%40repmgriffith,,17,01/07/2013 04:48:23,2
1084,5400,3,287196595550814208,q=%40morgangriffith,,1,01/07/2013 12:00:35,2
1085,1050,4,288101176900194304,q=%40repwolfpress,,19,01/07/2013 02:00:49,2
1086,4212,4,287411235845197825,q=%40wolf4congress,,0,01/05/2013 04:12:49,2
1087,465,1,288246048781131776,q=%40gerryconnolly,,0,01/07/2013 11:30:02,2
1088,234,3,288294502131712000,q=%40electconnolly,,0,01/07/2013 14:42:35,2
1089,117,4,288294556032700417,q=%40jayinslee,,0,01/07/2013 14:42:48,2
1090,4728,1,287619446674161664,q=%40repinsleenews,,0,01/05/2013 18:00:08,2
1091,4740,4,286884569427353600,q=%40larsenrick,,2,01/06/2013 03:00:50,2
1092,2376,1,287320083255160832,q=%40repricklarsen,,3,01/06/2013 07:12:05,2
1093,4764,2,286647256126468096,q=%40jaimelherrera,,1,01/06/2013 06:36:21,2
1094,2742,1,287788702661484545,q=%40dochastings,,18,01/06/2013 06:42:03,2
1095,598,3,288109194576539648,q=%40cathymcmorris,,1,01/07/2013 10:48:33,2
1096,2520,3,287891347116019712,q=%40repnormdicks,not running for reelection,0,01/06/2013 12:00:36,2
1097,2532,2,288241577711771648,q=%40norm4congress,not running for reelection,0,01/07/2013 11:12:17,2
1098,2568,2,287617862485569536,q=%40repjimmcdermott,,4,01/06/2013 04:00:17,2
1099,2580,2,287755390035300352,q=%40mcdermott4rep,,0,01/06/2013 03:00:21,2
1100,2220,1,287741048686518272,q=%40davereichert,,9,01/06/2013 03:00:05,2
1101,1083,3,288233419014565889,q=%40rep_adam_smith,,6,01/07/2013 12:36:33,2
1102,2160,3,288200142442602497,q=%40repmckinley,Official account of Republican incumbent in WV-1,9,01/07/2013 12:00:36,2
1103,4308,2,288157017430966272,q=%40mckinley4cong,Campaign account of Republican incumbent in WV-1,0,01/07/2013 05:36:17,2
1104,489,3,288261263799250944,q=%40repshelley,Official account of Republican incumbent in WV-2,0,01/07/2013 12:30:32,2
1105,28,3,288297438605877248,q=%40reppaulryan,,7,01/07/2013 15:04:33,2
1106,18,1,288298908017381376,q=%40paulryanpress,,0,01/07/2013 15:00:06,2
1107,18,2,288298954725150720,q=%40paulryan,"problem with collection, fixed may 6",0,01/07/2013 15:00:18,2
1108,195,2,288264983635169280,q=%40tammybaldwinwi,,0,01/07/2013 12:45:17,2
1109,102,3,288291465208156161,q=%40repronkind,,0,01/07/2013 14:30:34,2
1110,114,3,288291465208156161,q=%40kindforcongress,,0,01/07/2013 14:30:34,2
1111,126,3,288271850289627136,q=%40repgwenmoore,,0,01/07/2013 13:12:34,2
1112,2904,1,288018066053398528,q=%40repsensenbrenner,,0,01/06/2013 20:24:07,2
1113,150,3,288291465208156161,q=%40j_sensenbrenner,,0,01/07/2013 14:30:34,2
1114,162,3,288230278038712320,q=%40repseanduffy,,1,01/07/2013 12:54:32,2
1115,174,2,288239289735737345,q=%40duffy4congress,,1,01/07/2013 13:30:17,2
1116,186,1,288292845419368449,q=%40repribble,,0,01/07/2013 14:36:03,2
1117,198,1,288267188849217536,q=%40reidribble,,0,01/07/2013 12:54:03,2
1118,111,1,288286050432995328,q=%40cynthialummis,,0,01/07/2013 14:09:02,2
1122,0,1,0,q=mariana%20caucus,,,,2
1123,0,1,0,q=samoa%20caucus,,,,2
1124,0,1,0,q=%23WYOCaucus,,,,2
1125,0,1,0,q=%23iranelection,,,,2
1126,0,3,0,q=%23khatami,,,,2
1127,0,1,0,q=%23pinkslime,"tasked as part of the pink slime ground beef controversy, taken off because of some meme on 6/4",0,06/04/2012 23:35:25,2
1128,0,1,0,q=pink%20slime,,0,06/04/2012 23:39:21,2
1129,0,3,0,q=%23HHSXSW,,0,04/21/2012 03:14:32,2
1130,0,2,0,q=%40HHSXSW,,0,04/21/2012 11:18:22,2
1131,0,3,0,q=%23homelesshotspots,,0,04/20/2012 18:46:04,2
1132,0,3,0,q=%40limbaugh,"Rush Limbaugh's twitter account",33,04/21/2012 16:48:58,2
1133,90,3,288299027630526464,q=%23catchingfire,hunger games,52,01/07/2013 15:00:37,2
1134,31,2,288300112487280640,q=%23trayvon,Trayvon the dead florida teenager,8,01/07/2013 15:07:16,2
1135,0,1,0,q=trayvon,Trayvon the dead florida teenager,0,06/12/2012 15:06:23,2
1136,0,3,0,q=%23ididnotreport,,,,2
1137,0,3,0,q=%40ididnotreport1,,,,2
1138,0,4,0,q=%23phillyeducation,,,,2
1139,0,4,0,q=%40newskag,,,,2
1140,0,3,0,q=visa%20mastercard,"tasked for the data breach, but taken off of collection",,,2
1141,0,1,0,q=%23wirecall,hashtag for scott walker recall election,0,06/20/2012 15:06:36,2
1142,0,2,0,q=%23wiunion,,0,06/20/2012 15:06:37,2
1143,0,2,0,q=scott%20walker,,0,06/20/2012 15:06:37,2
1144,60,3,288296106310397952,q=%40scottkwalker,,8,01/07/2013 15:00:37,2
1145,66,2,288300467182788608,q=%40govwalker,,0,01/07/2013 15:06:16,2
1146,0,2,0,q=%23reclaimwi,,0,06/20/2012 15:08:24,2
1147,0,3,0,q=%23wiriseup,,0,06/20/2012 15:09:19,2
1148,4,4,288303080041242624,q=%23iran,,24,01/07/2013 15:16:48,2
1149,138,3,288270331184050177,q=%40iran_antifilter,,0,01/07/2013 13:06:32,2
1150,5436,3,287909456216473602,q=%40hackdisrupt,,0,01/06/2013 13:12:32,2
1151,900,4,288253794536550400,q=Gunter%20Grass,,0,01/07/2013 12:00:51,2
1152,333,4,288239021115703296,q=Günter%20Grass,,5,01/07/2013 12:18:47,2
1153,0,4,0,q=santorum,,22,04/27/2012 11:07:08,2
1154,18,2,288297472323891200,q=%23BarackObama,,4,01/07/2013 15:00:18,2
1155,96,2,288270343741767680,q=%23MittRomney,,3,01/07/2013 14:24:18,2
1156,4,2,288302876982390784,q=%23Obama,,31,01/07/2013 15:16:17,2
1157,31,2,288298148386988033,q=%23Romney,,4,01/07/2013 15:07:16,2
1158,0,3,0,q=%23askbuddy,buddy roemer townhall hashtag for april 12,0,04/21/2012 18:01:11,2
1159,66,2,288300272768385025,q=%40AnnDRomney,mitt romneys wife,1,01/07/2013 15:06:17,2
1160,456,4,288202380246413312,q=%23tornado,weather,22,01/07/2013 08:48:49,2
1161,240,4,288252487167799296,q=%23twister,weather,16,01/07/2013 12:00:51,2
1162,0,2,0,q=%23newyears,deadceleb,0,04/23/2012 06:06:19,2
1163,0,1,0,q=%23dickclark,deadceleb,35,04/23/2012 17:12:48,2
1164,0,2,0,q=dick%20clark,deadceleb,0,04/23/2012 19:39:10,2
1165,270,1,288251832910893056,q=%40london2012,Olympics,6,01/07/2013 12:00:05,2
1166,25,3,288297359664889857,q=%23london2012,Olympics,8,01/07/2013 14:55:32,2
1167,0,2,0,q=%40NJGovChristie,joke chris christie account yet it looks like the most genuine out there,,,2
1168,2484,1,287645104393568257,q=%23dontdoublemyrate,hashtag that obama started to promote at a press conference,1,01/06/2013 07:12:06,2
1169,0,4,0,q=%23nfldraft,I am a lazy piece of shit and I did not enter a description,0,05/04/2012 08:56:10,2
1170,24,4,288302107268874240,q=%23barack,I am a lazy piece of shit and I did not enter a description,0,01/07/2013 15:12:48,2
1171,14,2,288299940868943872,q=%23congress,I am a lazy piece of shit and I did not enter a description,13,01/07/2013 15:04:18,2
1172,12,3,288302046334025728,q=%23biden,I am a lazy piece of shit and I did not enter a description,0,01/07/2013 15:12:33,2
1173,80,3,288279553435136000,q=%23rubio,I am a lazy piece of shit and I did not enter a description,4,01/07/2013 14:40:33,2
1174,123,1,288272991236796417,q=%23christie,I am a lazy piece of shit and I did not enter a description,11,01/07/2013 13:36:03,2
1175,117,2,288292639965589506,q=%23Mitt,I am a lazy piece of shit and I did not enter a description,6,01/07/2013 14:42:17,2
1176,723,1,288135818034434048,q=%23portman,I am a lazy piece of shit and I did not enter a description,1,01/07/2013 04:42:02,2
1177,0,1,0,q=%23whcd,Alan,4,05/01/2012 14:02:20,2
1178,0,4,0,q=%23nerdprom,Alan,1,05/01/2012 14:02:45,2
1179,0,2,0,q=junior%20seau,Celebrity Death Panel,14,06/12/2012 21:47:32,2
1180,0,2,0,q=%23juniorseau,Celebrity Death Panel,1,05/27/2012 01:16:28,2
1181,0,4,0,q=%23chargers,Celebrity Death Panel,0,05/23/2012 22:42:32,2
1182,0,3,0,q=%40barrett4wi,wisconsin recall challenger,1,06/20/2012 15:09:25,2
1183,0,1,0,q=tom%20barrett,wisconsin recall challenger,0,06/20/2012 15:11:21,2
1184,0,2,0,q=%23wiunion,"duplicate of 1142, taken off of collection",0,06/13/2012 10:35:09,2
1185,0,4,0,q=%23unitedwi,I am a lazy piece of shit and I did not enter a description,0,06/20/2012 15:11:42,2
1186,0,2,0,q=%40falkforwi,kathleen falk is dem primary challenger in wi,0,06/20/2012 06:18:19,2
1187,0,1,0,q=%40vinehoutk,another democratic prim challenger,0,06/20/2012 01:21:22,2
1188,0,4,0,q=%40douglafollette,dem challenger in wisconsin,0,06/19/2012 20:02:15,2
1189,0,4,0,q=%23recallwalker,recall scott walker hashtag,0,06/20/2012 15:22:22,2
1190,2532,3,287756442944020480,q=%40scottwalkerhq,scott walker campaign account,1,01/07/2013 11:12:32,2
1191,0,1,0,q=beastie%20boys,"tasked for adam yauch death, but detasked well after he was buried",0,06/13/2012 02:16:19,2
1192,0,2,0,q=adam%20yauch,"tasked for adam yauch death, but detasked well after he was buried",17,06/13/2012 02:16:11,2
1193,0,3,0,q=george%20lindsey,"trending dead, detasked after many weeks passed after death",19,06/12/2012 03:02:05,2
1194,0,1,0,q=goober%20pyle,"trending dead, detasked after many weeks passed after death",3,06/11/2012 14:53:25,2
1195,0,3,0,q=andy%20griffith,"trending dead, detasked after many weeks passed after death",25,06/13/2012 01:16:10,2
1196,2,4,288303081681199105,q=%23RIP,trendingdead.com,19,01/07/2013 15:16:48,2
1197,0,1,0,q=maurice%20sendak,trendingdead.com,15,06/13/2012 01:18:16,2
1198,0,3,0,q=blood%20sugar,for carolyn rose,0,07/25/2012 20:10:33,2
1199,0,4,0,q=obesity,for carolyn rose,0,07/25/2012 18:10:47,2
1200,0,2,0,q=%23diabetes,for carolyn rose,0,07/25/2012 17:15:57,2
1201,0,2,0,q=%23nwhw,national womens health,0,06/04/2012 01:50:48,2
1202,0,2,0,q=%23HewlettFire,hashtag for fire in colorado,0,05/31/2012 16:34:13,2
1203,0,3,0,q=donna%20summer,turned off since it was creating collection issues,0,05/17/2012 18:16:08,2
